,0,C,Double,Triple,Bracket,Cyclic,Predict,Error
0,iterration,,,,,,,
1,1,,,,,,,
0,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
2648,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2650,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2653,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2661,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2670,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2681,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2687,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2691,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2696,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2698,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2700,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2706,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2708,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2710,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2712,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2714,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2726,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2644,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2634,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2630,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2628,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2594,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2595,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2598,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2599,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
2602,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2603,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2604,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2605,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2730,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2606,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2608,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2609,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
2610,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2611,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
