,0,C,Double,Triple,Bracket,Cyclic,Predict,Error
0,iterration,,,,,,,
1,1,,,,,,,
0,,3,1,1,0,1,249.95,0.020000000000004545
1,,3,2,1,0,1,249.95,0.020000000000004545
2,,3,1,1,0,0,249.95,0.020000000000004545
3,,3,2,1,0,1,249.95,0.020000000000004545
4,,3,2,1,0,0,249.95,0.020000000000004545
5,,3,2,1,0,0,249.95,0.020000000000004545
6,,3,2,1,0,0,249.95,0.020000000000004545
7,,3,2,1,0,0,249.95,0.020000000000004545
8,,3,2,1,0,1,249.95,0.020000000000004545
9,,3,0,1,0,0,249.95,0.020000000000004545
10,,3,2,1,0,1,249.95,0.020000000000004545
11,,3,2,1,0,1,249.95,0.020000000000004545
12,,3,0,1,0,0,249.95,0.020000000000004545
13,,3,2,1,0,1,249.95,0.020000000000004545
14,,3,2,1,0,1,249.95,0.020000000000004545
15,,3,2,1,0,0,249.95,0.020000000000004545
16,,3,2,1,0,0,249.95,0.020000000000004545
17,,3,2,1,0,0,249.95,0.020000000000004545
18,,3,2,1,0,0,249.95,0.020000000000004545
19,,3,2,1,0,0,249.95,0.020000000000004545
20,,3,2,1,0,0,249.95,0.020000000000004545
21,,3,0,1,0,0,249.95,0.020000000000004545
22,,3,2,1,0,1,249.95,0.020000000000004545
23,,3,1,1,0,0,249.95,0.020000000000004545
24,,3,2,1,0,0,249.95,0.020000000000004545
25,,3,2,1,0,0,249.95,0.020000000000004545
26,,3,1,1,0,0,249.95,0.020000000000004545
27,,3,1,1,0,1,249.95,0.020000000000004545
28,,3,0,1,0,0,249.95,0.020000000000004545
29,,3,1,1,0,1,249.95,0.020000000000004545
30,,3,1,1,0,0,249.95,0.020000000000004545
31,,3,1,1,0,0,249.95,0.020000000000004545
32,,3,1,1,0,0,249.95,0.020000000000004545
33,,3,2,1,0,0,249.95,0.020000000000004545
34,,3,1,1,0,0,249.95,0.020000000000004545
35,,3,1,1,0,0,249.95,0.020000000000004545
36,,3,2,1,0,0,249.95,0.020000000000004545
37,,3,2,1,0,1,249.95,0.020000000000004545
38,,3,1,1,0,1,249.95,0.020000000000004545
39,,3,0,1,0,0,249.95,0.020000000000004545
40,,3,1,1,0,1,249.95,0.020000000000004545
41,,3,1,1,0,0,249.95,0.020000000000004545
42,,3,1,1,0,1,249.95,0.020000000000004545
43,,3,1,1,0,0,249.95,0.020000000000004545
44,,3,2,1,0,1,249.95,0.020000000000004545
45,,3,2,1,0,0,249.95,0.020000000000004545
