,0,CRe,DoubleCCRe,TripleCC,Bracket,Benzene,CycleRe,SingleCO,DoubleCO,Predict_LogS,Predict_LogP,Predict_Hansen_Polarity,Predict_Hansen_dis,Predict_Hansen_H_bond,error
0,iterration,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,
977,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
790,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
448,,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.55,-0.36,5.0,14.9,7.1,0.25999999999999945
145,,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-3.71,-0.04,6.4,17.7,10.6,0.5066666666666656
421,,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.71,-0.04,6.4,17.0,10.6,0.5066666666666656
965,,8.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,-3.535,0.12,4.7,16.3,10.6,0.5466666666666683
806,,9.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,-3.535,0.12,4.7,17.7,10.6,0.5466666666666683
811,,9.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,-2.485,-3.035,4.8,16.0,4.0,0.9299999999999995
322,,9.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,-2.485,-3.035,4.8,16.0,4.0,0.9299999999999995
907,,9.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,-2.485,-3.035,4.5,17.1,4.0,0.9299999999999995
72,,12.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.569999999999999,-0.68,4.0,15.0,9.3,0.9399999999999921
243,,11.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,-0.569999999999999,-0.68,4.0,15.0,9.3,0.9399999999999921
300,,12.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,-0.569999999999999,-0.68,4.0,15.0,9.3,0.9399999999999921
608,,12.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,-0.569999999999999,-0.68,4.0,15.0,9.3,0.9399999999999921
521,,12.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,-0.569999999999999,-0.68,4.0,15.0,9.3,0.9399999999999921
221,,12.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,-0.569999999999999,-0.68,4.0,15.0,9.3,0.9399999999999921
