,0,C,Double,Triple,Bracket,Cyclic,Predict,Error
0,iterration,,,,,,,
1,1,,,,,,,
462,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
642,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
331,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
325,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
667,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
308,,7.0,0.0,0.0,3.0,0.0,353.95,0.0
678,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
938,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
253,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
53,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
28,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
55,,7.0,0.0,0.0,3.0,0.0,353.95,0.0
927,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
217,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
213,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
197,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
803,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
858,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
126,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
866,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
98,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
244,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
354,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
112,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
995,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
986,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
600,,7.0,1.0,0.0,3.0,0.0,351.05,0.0
564,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
592,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
587,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
586,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
529,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
210,,6.0,2.0,0.0,0.0,0.0,348.86,0.32571428571428185
841,,6.0,2.0,0.0,0.0,0.0,348.86,0.32571428571428185
54,,6.0,2.0,0.0,0.0,0.0,348.86,0.32571428571428185
